paper_id,title,research_type,contribution_type,evaluation_method
P0001,A Behavior-Based Ontology for Supporting Automated Assessment of Interactive Systems,Philosophical Papers,Model,Rigorous Analysis
P0002,A Behavior-Driven Approach to Intent Specification for Software-Defined Infrastructure Management,Philosophical Papers,Model,Discussion
P0003,A Conceptual Metamodel to Bridging Requirement Paerns to Test Paerns,Philosophical Papers,Model,Case Study
P0004,A Formal Ontology for Describing Interactive Behaviors and Supporting Automated Testing on User Interfaces,Philosophical Papers,Tool,Discussion
P0005,A Framework to Diminish the Gap between the Business Specialist and the Software Designer,Philosophical Papers,Model,Case Study
P0006,A model-driven approach for behavior-driven GUI testing,Validation Research,Tool,Case Study
P0007,Information and Software Technology,Experience Papers,Empirical Insights,Case Study
P0008,Total Downloads: 1482,Philosophical Papers,Process,Experience Report
P0009,A Requirement-based Regression Test Selection Technique in Behavior-Driven Development,Evaluation Research,Tool,Rigorous Analysis
P0010,A study of test techniques for integration with Domain Driven Design,Validation Research,Method,Case Study
P0011,A Study of the Characteristics of Behaviour Driven Development,Experience Papers,Process,Experiment
P0012,A user-centered behavioral software development model,Validation Research,Metric,Experience Report
P0013,A method for testing and validating executable statechart models,Validation Research,Metric,Discussion
P0014,A Semantic Wiki Approach to Enable Behaviour Driven Requirements Management,Philosophical Papers,Model,Experience Report
P0015,The Journal of Systems & Software,Evaluation Research,Process,Case Study
P0016,Agile Processes in Software Engineering and Extreme Programming,Experience Papers,Metric,Experience Report
P0017,An Industrial Case Study on Test Cases as Requirements,Experience Papers,Empirical Insights,Case Study
P0018,Analysing Requirements Communication Using Use Case Specification and User stories,Validation Research,Empirical Insights,Experience Report
P0019,Analysing Requirements Communication Using Use Case Specification and User stories,Validation Research,Metric,Discussion
P0020,Assessing Agile Testing Practices for Enterprise Systems: A Survey Approach,Validation Research,Empirical Insights,Rigorous Analysis
P0021,Assisted Behavior Driven Development Using Natural Language Processing,Solution Proposal,Tool,Example
P0022,Augmented System Verification Using Automated Testing,Solution Proposal,Metric,Discussion
P0023,Agile Processes in Software Engineering and Extreme Programming,Experience Papers,Metric,Experience Report
P0024,#.c World Scienti ̄c Publishing Company,Opinion Papers,Metric,Discussion
P0025,Automated Testing Framework Development based on Social Interaction and Communication Principles,Validation Research,Method,Case Study
P0026,Automatically Generating Tests from Natural Language Descriptions of Software Behavior,Solution Proposal,Tool,Experience Report
P0027,Automating test oracles from restricted natural language agile requirements,Solution Proposal,Method,Example
P0028,BHive: Towards Behaviour-Driven Development Supported by B-Method,Solution Proposal,Tool,Example
P0029,BHive: Behavior-Driven Development Meets B-Method,Solution Proposal,Tool,Example
P0030,BeSoS: A Tool for Behavior-driven and Scenario-based Requirements Modeling for Systems of Systems,Philosophical Papers,Model,Example
P0031,An agile testing methodology for multi-agent systems based on behaviour,Validation Research,Method,Case Study
P0032,Behave Nicely! Automatic Generation of Code for Behaviour Driven Development Test Suites,Solution Proposal,Empirical Insights,Example
P0033,Behavior Driven Development Approach in the Modern Quality Control Process,Opinion Papers,Method,Experiment
P0034,Behavior Driven Development for Circuit Design and Verification,Solution Proposal,Tool,Rigorous Analysis
P0035,Behavior Driven Development: Tools and Challenges,Validation Research,Method,Rigorous Analysis
P0036,Behavior Driven Testing in ALMA Telescope Calibration Software,Experience Papers,Empirical Insights,Experiment
P0037,Behavior-driven development benefits and challenges: reports from an industrial study,Opinion Papers,Method,Discussion
P0038,"Behavior-driven development as an approach to improve software quality and communication across remote business stakeholders, developers and QA: two case studies",Evaluation Research,Process,Experience Report
P0039,Behavior-Driven Development: A case study on its impacts on agile development teams,Evaluation Research,Process,Discussion
P0040,Behavior-Driven Development: An Expert Panel to evaluate benefits and challenges,Experience Papers,Empirical Insights,Experience Report
P0041,Behavior-driven Load Testing Using Contextual Knowledge - Approach and Experiences,Solution Proposal,Metric,Example
P0042,Behavior-Driven Requirements Traceability via Automated Acceptance Tests,Experience Papers,Metric,Experience Report
P0043,Behavior-driven Development for Real-time Embedded Systems,Validation Research,Process,Example
P0044,Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,Validation Research,Tool,Case Study
P0045,University of Southern Denmark,Evaluation Research,Process,Case Study
P0046,Behaviour Driven Development for Hardware Design,Solution Proposal,Method,Example
P0047,Behaviour Driven Development for Tests and Verification,Solution Proposal,Method,Discussion
P0048,Behaviour-Driven Development for Computer-Interpretable Clinical Guidelines,Opinion Papers,Empirical Insights,Discussion
P0049,Behaviour-Driven Development of Foundational UML Components,Philosophical Papers,Tool,Rigorous Analysis
P0050,Behaviour-Driven Formal Model Development,Validation Research,Model,Discussion
P0051,Behaviour-Driven Requirements Engineering for Agile Product Line Engineering,Validation Research,Process,Case Study
P0052,Bridging the Gap between Requirements Modeling and Behavior-driven Development,Validation Research,Method,Example
P0053,Agile Processes in Software Engineering and Extreme Programming,Opinion Papers,Process,Case Study
P0054,Combination of Test-Driven Development and Behavior-Driven Development for Improving Backend Testing Performance,Validation Research,Method,Experiment
P0055,Combining IID with BDD to Enhance the Critical Quality of Security Functional,Opinion Papers,Process,Discussion
P0056,Combining STPA and BDD for safety analysis and verification in agile development,Opinion Papers,Method,Discussion
P0057,Concurrent development and verification of an all-software baseband for satellite ground operations,Validation Research,Process,Discussion
P0058,Consistency Reflection for Automatic Update of Testing Environment,Opinion Papers,Tool,Rigorous Analysis
P0059,Continuous Security through Integration Testing in an Electronic Health Records System,Opinion Papers,Metric,Experiment
P0060,Information and Software Technology,Experience Papers,Empirical Insights,Experience Report
P0061,Detecting Duplicate Examples in Behaviour Driven Development Specifications,Solution Proposal,Tool,Example
P0062,Distributed Agile: Component-Based User Acceptance Testing,Validation Research,Method,Experiment
P0063,Efficient and Flexible Test Automation in Production Systems Engineering,Validation Research,Tool,Experiment
P0065,Enabling IoT Platform Interoperability Using a Systematic Development Approach by Example,Philosophical Papers,Process,Experience Report
P0066,Enhancing the Student Learning Experience by Adopting TDD and BDD in Course Projects,Experience Papers,Empirical Insights,Case Study
P0067,Ensuring the Consistency Between User Requirements and Graphical User Interfaces: A Behavior-Based Automated Approach,Philosophical Papers,Metric,Discussion
P0068,Jiri Matula(&) and Frantisek Hunka,Philosophical Papers,Method,Case Study
P0069,Evaluating the usage of predefined interactive behaviors for writing user stories: an empirical study with potential product owners,Philosophical Papers,Method,Experience Report
P0070,Editorial Policy for Ada User Journal,Opinion Papers,Model,Example
P0073,Generating Testing Codes for Behavior-Driven Development from Problem Diagrams: A Tool-Based Approach,Solution Proposal,Model,Experience Report
P0074,Generation of Behavior-Driven Development C++ Tests from Abstract State Machine Scenarios,Experience Papers,Tool,Example
P0075,Gherkin Syntax Extension for Parameterization of Network Switch Configurations in Test Specification,Validation Research,Model,Rigorous Analysis
P0076,Future Generation Computer Systems,Opinion Papers,Metric,Rigorous Analysis
P0077,Gabriel Oliveira Sabrina Marczak Cassiano Moralles,Opinion Papers,Process,Case Study
P0078,LNBIP 139 - Enterprise Information Systems of the Future,Validation Research,Process,Case Study
P0079,Improving Agile Software Development with Domain Ontologies,Philosophical Papers,Model,Case Study
P0080,"JOÃO PEDRO SANTOS, Federal University of Pernambuco, Recife, PE, Brazil THAÍS ROCHA, Federal University of Pernambuco, Recife, PE, Brazil PAULO BORBA, Federal University of Pernambuco, Recife, PE, Brazil",Evaluation Research,Method,Rigorous Analysis
P0081,Integrating Behavior Driven Development and Programming by Contract,Validation Research,Method,Case Study
P0082,Intuitive design: framing a software test system as a status reporting tool for business,Evaluation Research,Metric,Discussion
P0083,Information and Software Technology,Philosophical Papers,Model,Experiment
P0084,TARIQ M. KING GABRIEL NUNEZ DIONNY SANTIAGO ADAM CANDO CODY MACK,Experience Papers,Process,Rigorous Analysis
P0085,Legislation-driven development of a Gift Aid system using Event-B,Solution Proposal,Tool,Experience Report
P0086,Maintaining Behaviour Driven Development Specifications: Challenges and Opportunities,Opinion Papers,Empirical Insights,Rigorous Analysis
P0087,#.c World Scienti ̄c Publishing Company,Opinion Papers,Metric,Discussion
P0088,On the applicability of BDD in a Business Intelligence project: experience report,Evaluation Research,Metric,Discussion
P0089,On the Empirical Evaluation of BDD Scenarios Quality: Preliminary Findings of an Empirical Study,Evaluation Research,Metric,Case Study
